कंप्यूटरगेम	कंप्यूटर+गेम
समाजसेवा	समाज+सेवा
समाधिस्थल	समाधि+स्थल
समाधिस्थली	समाधि+स्थली
समानभाग	समान+भाग
समानवायु	समान+वायु
समावर्त्तसंस्कार	समावर्त्त+संस्कार
समावर्त्तनसंस्कार	समावर्त्तन+संस्कार
समुंदरफल	समुंदर+फल
समुंदरसोख	समुंदर+सोख
समुद्रतट	समुद्र+तट
समुद्रनवनीतक	समुद्र+नवनीतक
समुद्रफल	समुद्र+फल
समुद्रमंथन	समुद्र+मंथन
समुद्रमार्ग	समुद्र+मार्ग
समुन्दरफल	समुन्दर+फल
समोआदेश	समोआ+देश
सम्प्रदानकारक	सम्प्रदान+कारक
सम्प्राप्तिकाल	सम्प्राप्ति+काल
सम्प्रेषणप्रोटोकाल	सम्प्रेषण+प्रोटोकाल
सम्प्रेषणप्रोटोकॉल	सम्प्रेषण+प्रोटोकॉल
सम्प्रेषणप्रोटोकोल	सम्प्रेषण+प्रोटोकोल
सम्बन्धकारक	सम्बन्ध+कारक
सम्बलपुरजिला	सम्बलपुर+जिला
सम्बलपुरशहर	सम्बलपुर+शहर
सम्बोधनकारक	सम्बोधन+कारक
सम्मानसमारोह	सम्मान+समारोह
सम्राटअशोक	सम्राट+अशोक
सम्राटपत्नी	सम्राट+पत्नी
सरदर्द	सर+दर्द
सरदारपटेल	सरदार+पटेल
सरनजिला	सरन+जिला
सरपटचाल	सरपट+चाल
सरबियागणराज्य	सरबिया+गणराज्य
सरबियादेश	सरबिया+देश
सरबियाईभाषा	सरबियाई+भाषा
सरयुनदी	सरयु+नदी
सरयूनदी	सरयू+नदी
सरलगाँठ	सरल+गाँठ
सरलरेखा	सरल+रेखा
सरस्वती-रहस्यउपनिषद	सरस्वती-रहस्य+उपनिषद
सरस्वती-रहस्यउपनिषद्	सरस्वती-रहस्य+उपनिषद्
सरस्वतीनदी	सरस्वती+नदी
सरस्वतीसंन्यासी	सरस्वती+संन्यासी
सराफ़ाबाज़ार	सराफ़ा+बाज़ार
सराफाबाजार	सराफा+बाजार
सरीसृपजन्तु	सरीसृप+जन्तु
सरीसृपजीव	सरीसृप+जीव
सर्कलइंस्पेक्टर	सर्कल+इंस्पेक्टर
सर्किटहाउस	सर्किट+हाउस
सर्किटहॉउस	सर्किट+हॉउस
सर्पदंश	सर्प+दंश
सर्पिऋषि	सर्पि+ऋषि
सर्पिकानदी	सर्पिका+नदी
सर्बियागणराज्य	सर्बिया+गणराज्य
सर्बियादेश	सर्बिया+देश
सर्बियाईभाषा	सर्बियाई+भाषा
सर्राफ़ाबाज़ार	सर्राफ़ा+बाज़ार
सर्राफाबाजार	सर्राफा+बाजार
सर्व-सारउपनिषद	सर्व-सार+उपनिषद
सर्व-सारउपनिषद्	सर्व-सार+उपनिषद्
सर्वसम्मति	सर्व+सम्मति
सर्वसहमति	सर्व+सहमति
सर्वखापपंचायत	सर्वखाप+पंचायत
सर्वनामशब्द	सर्वनाम+शब्द
सर्वांगवाचकशब्द	सर्वांगवाचक+शब्द
सर्विक्सयूटेराई	सर्विक्स+यूटेराई
